link,name,season,birthdate,hometown,occupation,player_description
/wiki/Colleen_Haskell,Colleen Haskell,Survivor: Borneo,"December 6, 1976 (1976-12-06) (age 47)","Miami Beach, Florida",Student,"
Colleen currently attends college at Miami Ad School where she is working to make a portfolio that she hopes will eventually lead to a job in creative advertising. Previous jobs include working as an intern for Arena Stage in Washington, D.C. and waitressing.
Born and raised in Bethesda, Maryland, she attended college at the University of Georgia in Athens where she was able to study abroad in London, England on a six month internship with the London Film Festival. Upon graduation, she spent two months in Ghana, West Africa followed by two months traveling in France.
Colleen describes herself as talkative, independent and a bit spacey. Her favorite topics at a dinner party are stories and jokes (""I still believe in storytime""). In her spare time, she enjoys traveling and cooking, and prefers to listen to talk radio. An avid lover of French films, she admits that Kevin Costner's ""Robin Hood"" can still make her cry.
Colleen currently resides in Miami Beach, Florida. Her birth date is Dec. 6, 1976.[1]

"
/wiki/Sean_Kenniff,Sean Kenniff,Survivor: Borneo,"November 27, 1969 (1969-11-27) (age 54)","Carle Place, New York",Doctor,"
The middle child of three, Sean was born in Massapequa, New York. His father worked as a firefighter for New York City while his mother maintained her work as a homemaker. Graduating from Massapequa High School, Sean immediately began his studies the following fall at the State University of New York at Binghamton where he eventually received a Bachelor of Science degree in biology.
While other kids opted for spring break in college, Sean stayed behind to save his money in order to get through medical school. He attained his M.D. through New York Medical College. Upon graduation, he then spent four years with the Long Island Jewish Medical Center (a division of the Albert Einstein College of Medicine), serving his last year as their Chief Resident.
As a neurologist, Sean maintained a private practice that allotted him the privileges to work for the Long Island Jewish Medical Center, the North Shore University Hospital (an affiliate of Cornell University) and St. Francis University Hospital (an affiliate of Columbia University). At age 30, with full intentions of resuming his profession at a later date, he's taken a break to explore other avenues of interest.
An amateur writer, Sean wrote a yet-to-be published psychological thriller which he hopes to someday develop into a television show. He's also written the sequel. He indulges his artistic impulses through sketching and writing poetry. He also finds time for boxing at the Westbury Police Athletic League.
Sean currently lives in Carle Place, New York. His birth date is Nov. 27, 1969.[1]

"
/wiki/Susan_Hawk,Susan Hawk,Survivor: Borneo,"August 17, 1961 (1961-08-17) (age 62)","Palmyra, Wisconsin;Las Vegas, Nevada",Truck Driver,"


Born in Waukesha, Wisconsin, Susan attended Waukesha South Campus High School. Currently employed as a truck driver, she previously owned and operated a hunting and fishing camp in N.W. Ontario, Canada. Prior to that, she worked as a horse trainer and a waitress/bartender.
Susan's three favorite hobbies are hunting, swimming and fishing. She enjoys hunting birds with her dogs, Ellie and Stinky. She describes herself as motivated, resourceful, and flexible. Her favorite television shows are ""The Drew Carey Show"" and ""Whose Line is It Anyway?"" Her favorite feature film is ""Papillion"" (starring Steve McQueen and Dustin Hoffman) and she prefers to listen to 60's and 70's rock and roll music.
A perfect day for Susan begins at 2:00 AM to walk the dogs. She would be at work by 5:00 AM delivering concrete, and be home by 6:00 PM for a quick run in the woods with husband, Tim, and of course Ellie and Stinky, who would be looking for pheasants. Returning home, they would eat dinner and retreat to the hot tub for a romantic evening.

Susan currently resides in Palmyra, Wisconsin. She is a member of the Wisconsin Road Team, an organization of truck drivers that travel throughout the state to teach student drivers how to share the road safely with big trucks. Her birth date is August 17, 1961.[1]
"
/wiki/Rudy_Boesch,Rudy Boesch,Survivor: Borneo,"January 20, 1928","Virginia Beach, Virginia",Retired Navy SEAL,"


Rudy joined the Navy in April 1945 and immediately volunteered for ""secret and hazardous duty"" with the Amphibious Scouts and Raiders, highly classified naval commando units. In 1951, six years after Scout and Raider training at Fort Pierce, Florida, Rudy completed UDT (Underwater Demolition Teams) training in Little Creek, Virginia, and was assigned to UDT-2 (redesigned as UDT-21 in 1953). He remained in UDT-21 for the next 11 years. During this period, he completed numerous specialized schools and deployed routinely to the Mediterranean and Caribbean areas with the Naval Amphibious Forces. Rudy became a proficient combat swimmer and expert in small-boat operations. In 1962, Rudy was one of the 50 hand-selected officers of the original SEAL (Sea-Air-Land) Team TWO, becoming one of their most distinguished members.
In 1967, Rudy was advanced to the rank of Master Chief Petty Officer and, between combat tours, served as the senior enlisted position of Command Master Chief. From 1968-1970, Rudy completed two combat deployments to Vietnam. Among his numerous awards, Rudy earned the Bronze Star Medal for heroic action during more than 45 combat operations. During and after his stint in Vietnam, Rudy was delegated the ""Chief SEAL,"" and set physical and operational standards at SEAL Team TWO.
In the late 1980's, Rudy became the Naval Special Warfare Community ""Bull Frog,"" a distinguishing award presented to the SEAL serving the longest time on active duty. Instead of retiring, Rudy was selected as the Senior Enlisted Advisor to USSOCOM. In August 1988, Rudy headed to Tampa, Florida and entered into the ""inner circle"" of the Special Operations Command to advise on all enlisted matters of the Joint command. For his extraordinary performance, Rudy was awarded the Defense Superior Service Medal - an award not often given to an enlisted man.
Master Chief Rudy retired from the U.S. Navy after completing over 45 years continuous activity. He was honorably discharged on August 1, 1990. Rudy and Marge, his wife of 42 years, are now involved in extensive volunteer work. In 1992, Rudy captained a 38' power boat during the ""Americas Cup 1992"" event. In 1996, he captained a support boat at the Summer Olympic Games. He continues as a Red Cross Volunteer and drives support vehicles and performs essential services during disaster-relief operations. He is also a volunteer for the Virginia Beach Police Department. Involved with many organizations, Rudy is a founding member of the UDT-SEAL Association and a founding member of the Association's Board of Directors, having once served as their President. He is also on the Board of Directors of the Special Operations Fund.

Rudy currently lives in Virginia Beach, Virginia. He and Marge have three children, Ellen Marie, Patricia Ann and Barbara Jean, and one granddaughter, Kelsey. His birth date is January 20, 1928.[1]
"
/wiki/Kelly_Wiglesworth,Kelly Wiglesworth,Survivor: Borneo,"June 24, 1977 (1977-06-24) (age 46)","Kernville, California;Greensboro, North Carolina",River Guide,"


Kelly is certified in swift water rescue and currently working as a guide on the Kern River in Nevada[sic]. She is a former student of the University of Nevada, Las Vegas (UNLV). Previous employment includes a job as an outdoor guide for UNLV's Outdoor Adventures, a campus run outdoor activities organization, and working as a waitress.
When describing herself, she uses the terms ""creative,"" ""confident"" and ""outgoing."" Of her many accomplishments, she is most proud of having spent 21 days rowing her own boat through the Grand Canyon and being able to touch her tongue to her nose. She enjoys dancing, whitewater kayaking and snowboarding during her free time. Her favorite television show is ""The Simpsons"" and favorite feature film is ""To Kill A Mockingbird.""

Kelly currently resides in Kernville, Nevada[sic], with her boyfriend, Tracy, and her dog, Flower. She is a member of Swiftwater Rescue and supports Friends of the River. Her birth date is June 24, 1977.[1]
"
/wiki/Richard_Hatch,Richard Hatch,Survivor: Borneo,"April 8, 1961 (1961-04-08) (age 62)","Newport, Rhode Island;Middletown, Rhode Island",Corporate Trainer,"


Richard currently runs his own business as a corporate trainer and consultant, conducting seminars on numerous topics including, conflict management, team building, practical negotiation and public speaking. In addition, he is a licensed real estate agent and has worked as a car salesman and bartender. He spent five years in the Army, initially enlisting and then becoming a West Point Cadet.
Richard is halfway through the Masters' program in education and counseling at Providence College in Rhode Island. Past studies have included oceanography and marine biology at Florida Institute of Technology, management at The United States Military Academy and general studies at George Mason University. He earned his Bachelor's degree in Management and Applied Behavioral Sciences through National-Louis University.
Richard describes himself as bright, rational, spontaneous and humorous - ""just as comfortable running a meeting in a boardroom as attending the annual nude weenie roast of the American Society of Harley Davidson Enthusiasts."" He enjoys provocative and meaningful conversation, any sport involving water (snorkeling, spear fishing, swimming, etc.) and camping.

Richard is from and currently lives in Newport, Rhode Island. He is single and has an adopted son, Christopher. His birth date is April 8, 1961.[1]
"
/wiki/Debb_Eaton,Debb Eaton,Survivor: The Australian Outback,"June 11, 1955 (1955-06-11) (age 68)","Milan, New Hampshire",Corrections Officer,"
NAME: DEBB EATON
AGE: 45
MARITAL STATUS: Single
OCCUPATION: Corrections Officer
HOMETOWN: Milan, New Hampshire
LUXURY ITEM:  Eyeliner and Case
Debb Eaton is currently a corrections officer in a men's prison located in Berlin, New Hampshire. She was married for almost 17 years to a New Hampshire State police officer who died on duty in 1997. She has a son (""6'5"" tall and extremely handsome!""), a sergeant in the United States Marine Corps who is currently stationed at the United States Embassy in Beijing, China. At present, Eaton lives in Milan, New Hampshire, but in the past has resided in various other areas of the state, including Manchester, Derry and Deerfield. She was born in Milwaukee and grew up in Cudahy, Wisconsin.
Eaton describes herself as outgoing, athletic, and determined, with a very positive attitude. She enjoys riding motorcycles, hiking, running, lifting weights, and spending time with her animals. She describes her life as perfect since she met the man of her dreams, bought a home with him in northern New Hampshire and both of them became corrections officers with the Department of Corrections.
Her birth date is June 11, 1955.[1]

"
/wiki/Kel_Gleason,Kel Gleason,Survivor: The Australian Outback,"January 5, 1968 (1968-01-05) (age 56)","Fort Hood, Texas",Army Intelligence Officer,"
NAME: KEL GLEASON
AGE: 32
MARITAL STATUS: Single
OCCUPATION: U.S. Army Intelligence Officer
OCCUPATION: Fort Hood, Texas
LUXURY ITEM:  Shaving Kit (razor and set of blades)
Captain Kel Gleason is an Intelligence Officer in the United States Army. He has a bachelor's degree in radio/television communications and has completed work toward a Masters degree in telecommunications at Southern Illinois University at Carbondale. Before entering the Army, Gleason worked as a production assistant for CBC (Canadian Broadcasting Corporation) Radio.
Gleason was commissioned in the Army in 1996 and immediately posted to Germany for three years. While posted there, he was a platoon leader and a battalion staff officer for intelligence and security. During that same period, he was also assigned to Bosnia in conjunction with the peacekeeping operation there.
Born in Murphysboro, Illinois, Gleason and his family moved to Fredericton, New Brunswick, Canada, where he lived until he completed high school. After graduation, Gleason moved back to the United States and has been based here ever since.
On visits home, Gleason enjoys camping, fishing, and kayaking with his dad, a retired professor. In addition, he is avidly interested in his South American Indian (Quechuan) heritage, particularly its history, art, and cuisine. He loves to cook, having learned his culinary skills from his Peruvian mother, who teaches gourmet cooking in the family home. Gleason's hobbies include weightlifting, running, rollerblading, snorkeling, photography, and skiing.
Currently single, Gleason recently relocated to Fort Hood, Texas. His birth date is January 5, 1968.[1]

"
/wiki/Maralyn_Hershey,Maralyn Hershey,Survivor: The Australian Outback,"January 24, 1949 (1949-01-24) (age 75)","Wakefield, Virginia",Retired Police Inspector,"
NAME: MARALYN ""Mad Dog"" HERSHEY
AGE: 51
MARITAL STATUS: Single
OCCUPATION Police Inspector, retired
HOMETOWN Wakefield, Virginia
LUXURY ITEM  Lipstick
Maralyn Hershey spent 26 years with the Metropolitan Police Department of Washington, D.C., having become one of the first women to be assigned to street patrol. Over the course of her tenure, she was promoted from Sergeant to Lieutenant to Captain and ultimately, Inspector. She is most proud of her promotion from Captain to Inspector, when she served as Commanding Officer of MPD Communications 911 for Washington, D.C. She retired in May 1996. During her career, Hershey received over 70 letters of commendation and four Incentive Awards for Outstanding Performance of Duty.
An avid rider and competitor, Hershey enjoys showing her horse, G-Man, in various competitions in her area. Approximately two years ago, Hershey fractured two ribs from a horse fall, followed by a fractured pelvic bone from another fall six months after that. Despite her injuries, Hershey got back in the saddle again and continues to compete in regional equestrian competitions. Hershey was the recipient of the 1999 Peninsula Horse Show Association's Annual Sportsmanship Award. For their 2000 season, Hershey was named champion of her Beginner Equitation/Jumping Division.
Hershey describes herself as determined, dramatic, and multi-faceted. In addition to her love for horses, Hershey's other favorite hobbies are yard work and reading. Her perfect day includes riding and jumping her horse, running three miles, mowing her lawn, swimming in her pool, reading a good book, and watching a good science fiction or horror film. Her favorite television shows are The Sopranos and The Corner, and her favorite motion pictures are Dune and Bram Stoker's Dracula. She prefers oldies rock music. Her favorite sports team is The Washington Redskins, while her favorite game is Scrabble.
Originally from Rockville Centre, Long Island (New York), Hershey currently resides in Wakefield, Virginia. In addition to her her horse, Hershey also cares for her walker hound, Eunice Bea, her two goats, Harley and Boomerang, and her donkey, Cappuccino. She is a member of the Federal Bureau of Investigation National Academy, Virginia Horse Show Association, the American Donkey & Mule Society and the Peninsula Horse Show Association. Her birth date is January 24.[1]

"
/wiki/Mitchell_Olson,Mitchell Olson,Survivor: The Australian Outback,"March 17, 1977 (1977-03-17) (age 46)","Union City, New Jersey",Singer/Songwriter,"
NAME: MITCHELL OLSON
AGE: 23
MARITAL STATUS: Single
OCCUPATION: Singer/Songwriter
HOMETOWN: Union City, New Jersey
LUXURY ITEM Song Book
Mitchell Olson is an aspiring singer/songwriter who has traveled around the country performing in various stage productions. He obtained a Bachelor of Arts degree in vocal music performance from South Dakota State University. He is most proud of having the courage to leave his family and friends behind to move to New York City in pursuit of his career.
Olson describes himself as witty, outgoing and (with tongue in cheek) downright all-around, completely and totally, without a doubt, sexy. He is 7' tall, which affords him a slightly different perspective on many things. His perfect day goes something like this: wake up with friends there to greet him; avoid long commute to work where more friends are there to greet him; lunch with friends; avoid long commute home to make a timely dash to the clubs with friends. His favorite television show is CBS's The Price Is Right while his favorite motion picture is Adventures In Babysitting. He prefers pop music, insisting that Britney Spears has a crush on him, although he concedes that it may be the other way around.
Olson is happy to report that his ""List of Things To Do Before I Die"" is coming along quite nicely (established when he was 12 years old, he is able to add to the list as he scratches a task off). Being a contestant on CBS's The Price Is Right was Number Two on his list—he accomplished that in 1998.[1] He gleefully admits that he once tried out for the Harlem Globetrotters (Number Twelve). Olson actually applied for the first installment of Survivor, and now that he's finally made the show, is happy to scratch off Number Sixteen. According to Number Six on the list, Olson is to run for President of the United States as soon as he comes of age.
Having been raised on a farm in Vermillion, South Dakota, Olson currently resides in Union City, New Jersey, when not traveling with a production. He is a member of the National Academy of Popular Music for Singers/Songwriters. His birth date is March 17.[2]

"
/wiki/Kimmi_Kappenberg,Kimmi Kappenberg,Survivor: The Australian Outback,"November 11, 1972 (1972-11-11) (age 51)","Ronkonkoma, New York;The Woodlands, Texas",Bartender,"


NAME: KIMMI KAPPENBERG
AGE: 28
MARITAL STATUS: Single
OCCUPATION: Bartender
HOMETOWN: Ronkonkoma, New York
LUXURY ITEM: Scrabble
Kimmi Kappenberg currently works as a bartender in Long Island, New York, while also freelancing as a production assistant for television commercials. Having taken courses at Suffolk Community College, University of Houston and Stephen F. Austin State University, she ultimately received a Bachelor of Arts degree from the New York Institute of Technology. She is most proud of the fact that she graduated at the top of her class after having taken a few years off from school.
Kappenberg describes herself as spontaneous, outgoing and creative. Her favorite hobbies are photography, gardening, and reading. Her perfect day would include a trip to the beach, horseback riding, eating many times (a vegetarian, she will not eat land-dwelling animals, only seafood), having sex, and watching the sunset. Her favorite television shows are Win Ben Stein's Money and The Simpsons, while her favorite motion pictures are Cruel Intentions and Beauty and the Beast. She prefers country, 80s, and club music. Her favorite sports team is the New York Yankees and she prefers a good game of Trivial Pursuit or Scrabble when she has time.

Born and raised in East Setauket, Long Island, Kappenberg currently resides in Ronkonkoma, Long Island. Currently single, she lives with her cat, Abbi, while her other three cats, Bart, Sasha and Meow, and her twin Shih Tzu dogs, Till and Fieval, live with her parents. Her birth date is November 11.[2]
"
/wiki/Michael_Skupin,Michael Skupin,Survivor: The Australian Outback,"January 29, 1962 (1962-01-29) (age 62)","White Lake, Michigan",Software Publisher;Part-Time Professional Speaker,"


NAME: MICHAEL SKUPIN
AGE: 38
MARITAL STATUS: Married
OCCUPATION: President of a software publishing and distribution company
HOMETOWN: White Lake, Michigan
LUXURY ITEM:  War Paint
Michael Skupin co-founded a software publishing and distribution company in 1992 where he currently serves as president. He also founded the CCA, which is a motivational speaking company. He attended Western Michigan University where he earned a bachelor of business management in 1984. His previous employment includes office equipment sales, surgical and operating room equipment sales, and a water-ski instructor. He is most proud of his wife Peni and his three children, Michael (12), Kalyn (9) and Emily (3).
Skupin describes himself as adventurous, a thrill-seeker, and a risk taker. His favorite television shows are ESPN's SportsCenter / Primetime (to compare notes with his son) and Seinfeld while his favorite motion picture is Meet Joe Black. Although he's a big fan of Faith Hill, he listens to a variety of music including Top 40, Country, Christian and has a soft spot for Oldies. His favorite sports teams are any team from Michigan, especially the University of Michigan Wolverines. Amid his hectic schedule, Skupin finds time to hunt, barefoot water-ski and play ice hockey. He'll also play a good game of Scattegories if time permits.

Originally from Farmington Hills, Michigan, Skupin currently lives in White Lake, Michigan with his wife and three children. They have 2 Black Labradors, Thor and Simeon and lots of wild fish and wild birds. His birth date is January 29, 1962.[1]
"
/wiki/Jeff_Varner,Jeff Varner,Survivor: The Australian Outback,"April 16, 1966 (1966-04-16) (age 57)","Manhattan, New York;Greensboro, North Carolina;High Point, North Carolina",Internet Projects Manager;Real Estate Agent,"


NAME: JEFF VARNER
AGE: 34
MARITAL STATUS: Single
OCCUPATION: Internet Project Manager
HOMETOWN: New York, New York
LUXURY ITEM: Coloring Book and Crayons
Jeff Varner is an internet project manager, having most recently worked as Director of People and Process for a Manhattan start-up company. There he developed and managed the technical and interpersonal aspects of a Human Resources/Operations hybrid system for a staff of 30. Prior employment includes work as a website producer, graphic designer and marketing manager for various companies.
Varner obtained a Bachelor of Arts degree in journalism from the University of North Carolina, Chapel Hill. Earlier employment included stints as a waiter, bartender and traveling salesperson. He is most proud of successfully making the transition from small town living to the much faster pace of a big city.
An aggressive athlete, he first put on a pair of skates when he was two years old and has since played competitive hockey (right defense) for 16 years, though he admits he spent most of the time in the penalty box. Additionally, he studied martial arts, receiving a black belt in Tae Kwon Do when he was 15 years old. While pursuing his degree with UNC, he was Captain of the National Champion Tar Heel Cheer Team (1989–90). He is an avid rollerblader, spending many afternoons skating through Manhattan's busy streets.
Varner describes himself as provocative, energetic, competitive, adventurous, and a free spirit who will try anything twice. His favorite television show is Sex and the City while his favorite feature films are Coal Miner's Daughter and The Matrix. He likes all kinds of music, especially that which motivates.
His perfect day includes a trip to the mountains with someone special for a day of hiking and nature (including a swim at a breathtaking waterfall). The day finishes with a jog, a shower, a bottle of Merlot, a ruthless game of backgammon, and great sex.

Born and raised in Greensboro, North Carolina, Varner currently lives in Manhattan, New York. He is a member of the Society of Human Resources. His respect, love and concern for children motivates him to volunteer for organizations and charities that support kids with need. Currently, he is researching burn trauma organizations for kids with the hope of making a difference. His birth date is April 16.[1]
"
